img,acc,iou,acc_crf,iou_crf
../../tmm_dataset_sharing/datasets/test/image\17438.jpg,93.6195833333,77.3717371737,95.8241666667,85.651214128
../../tmm_dataset_sharing/datasets/test/image\176420.jpg,91.74125,72.1595851597,92.9704166667,75.8888181625
../../tmm_dataset_sharing/datasets/test/image\176473.jpg,96.6508333333,89.1267893661,97.6916666667,92.1288656095
../../tmm_dataset_sharing/datasets/test/image\176801.jpg,94.1316666667,76.0780172808,97.1008333333,88.1886895547
../../tmm_dataset_sharing/datasets/test/image\177561.jpg,91.8954166667,86.9409767064,93.1291666667,89.1479702296
../../tmm_dataset_sharing/datasets/test/image\177668.jpg,83.4404166667,49.5772304503,84.21875,51.5715813931
../../tmm_dataset_sharing/datasets/test/image\177993.jpg,94.6204166667,81.6136225421,94.64375,82.0278683664
../../tmm_dataset_sharing/datasets/test/image\178196.jpg,93.92125,75.3141197588,94.2991666667,76.4955701861
../../tmm_dataset_sharing/datasets/test/image\178216.jpg,88.21,61.098075208,89.3254166667,64.3422224551
../../tmm_dataset_sharing/datasets/test/image\178302.jpg,97.0370833333,84.7487001733,97.4629166667,86.3996215108
../../tmm_dataset_sharing/datasets/test/image\178572.jpg,88.8229166667,53.3043902743,89.2170833333,53.6841111892
../../tmm_dataset_sharing/datasets/test/image\178959.jpg,90.6804166667,69.1814313838,91.50625,71.7912184465
../../tmm_dataset_sharing/datasets/test/image\179294.jpg,89.14375,65.2077499555,92.6079166667,75.8085911272
../../tmm_dataset_sharing/datasets/test/image\179563.jpg,91.1820833333,63.700273102,93.1,72.3589830652
../../tmm_dataset_sharing/datasets/test/image\180212.jpg,88.2991666667,51.4899198445,88.08375,50.0637016447
../../tmm_dataset_sharing/datasets/test/image\181299.jpg,94.0979166667,78.0988312323,96.9045833333,90.226809887
../../tmm_dataset_sharing/datasets/test/image\18136.jpg,96.57625,87.8182817366,97.0854166667,89.273744155
../../tmm_dataset_sharing/datasets/test/image\181458.jpg,85.82875,39.2465930148,86.5895833333,42.369572861
../../tmm_dataset_sharing/datasets/test/image\181469.jpg,97.0816666667,92.3431785328,98.2125,95.195452669
../../tmm_dataset_sharing/datasets/test/image\181527.jpg,90.4054166667,59.3030448828,90.7629166667,59.4240290077
../../tmm_dataset_sharing/datasets/test/image\181777.jpg,79.7920833333,44.801363163,80.7416666667,46.8935326361
../../tmm_dataset_sharing/datasets/test/image\182095.jpg,95.0145833333,77.5615227288,96.8141666667,86.3620243521
../../tmm_dataset_sharing/datasets/test/image\182234.jpg,91.7704166667,69.2989620894,92.5220833333,70.1931478264
../../tmm_dataset_sharing/datasets/test/image\182376.jpg,92.6520833333,69.5061048941,93.645,73.0907769762
../../tmm_dataset_sharing/datasets/test/image\182490.jpg,93.4570833333,72.5225682118,94.0529166667,73.9957040355
../../tmm_dataset_sharing/datasets/test/image\182640.jpg,94.6229166667,79.4843575045,95.6325,83.4617687023
../../tmm_dataset_sharing/datasets/test/image\182740.jpg,92.8029166667,61.2510962472,93.43375,64.8966852357
../../tmm_dataset_sharing/datasets/test/image\182929.jpg,79.0316666667,23.389953975,78.5375,19.8074508162
../../tmm_dataset_sharing/datasets/test/image\182954.jpg,96.3920833333,88.4624176348,97.3658333333,92.1160406122
../../tmm_dataset_sharing/datasets/test/image\183067.jpg,96.54375,83.2476248584,97.4825,87.4784935959
../../tmm_dataset_sharing/datasets/test/image\183082.jpg,87.9041666667,48.8334181316,86.7841666667,42.8610951499
../../tmm_dataset_sharing/datasets/test/image\183216.jpg,94.9554166667,73.785246006,94.8279166667,72.4064130003
../../tmm_dataset_sharing/datasets/test/image\183227.jpg,89.765,59.6157062808,90.0158333333,61.803518256
